Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
H2,1_F_earth,1_M_earth,500,20836411.400333002,0.4209862591493314,3135.2655049646314,3489.200695199062,1.3738237958832637e-12,1.912534135876122e-13,180.0,427.0695994167486
H2,1_F_earth,1_M_earth,1000,21788123.7881044,0.47033096641025735,3135.2655049646314,3818.902024217364,1.3738237958832637e-12,1.912534135876122e-13,180.0,813.1158485054183
H2,1_F_earth,1_M_earth,2000,24762517.688678883,0.6063895075161105,3135.2655049646314,4478.304682253969,1.3738237958832637e-12,1.912534135876122e-13,180.0,1585.2083466827576
H2,1_F_earth,1_M_earth,3000,30643490.3583426,0.9122102466726766,3135.2655049646314,5584.856670554002,1.3738237958832637e-12,1.2892728213968138e-13,180.0,2521.8551822515633
H2,1_F_earth,1_M_earth,4000,35553631.84306155,1.2073170954092394,3135.2655049646314,6394.375737687407,1.3738237958832637e-12,1.2892728213968138e-13,180.0,3352.3002823407705
H2,1_F_earth,1_M_earth,5000,41439486.272482894,1.5922068504370224,3135.2655049646314,7203.894804820811,1.3738237958832637e-12,1.2892728213968138e-13,180.0,4182.745382429977
H2,1_F_earth,1_M_earth,6000,52360454.271507725,2.5515552342879597,3135.2655049646314,8909.297747871626,1.3738237958832637e-12,8.691214325599685e-14,180.0,5265.849576563429
H2,1_F_earth,1_M_earth,7000,61383456.99663532,3.380205075480493,3135.2655049646314,9868.655787394542,1.3738237958832637e-12,8.691214325599685e-14,180.0,6139.706892124155
H2,1_F_earth,10_M_earth,200,55909096.530799076,741.9954336620109,66132.82343754619,132687.8304648534,1.93476445493e-09,3.061881861342166e-15,143.72153176293844,199.9974889086272
H2,1_F_earth,10_M_earth,300,60110246.345433764,1056.0261431144518,66132.82343754619,170503.05422926354,1.93476445493e-09,1.6209420671545108e-15,143.72153176293844,299.9956723344449
H2,1_F_earth,10_M_earth,500,63544124.030563414,1718.6001814939207,66132.82343754619,240082.6351905724,1.93476445493e-09,1.6209420671545108e-15,143.72153176293844,499.9901339316133
H2,1_F_earth,10_M_earth,1000,79521817.34434047,5297.792533923682,66132.82343754619,444287.0755714436,1.93476445493e-09,4.54282095067802e-16,143.72153176293844,999.9908664804336
H2,1_F_earth,10_M_earth,2000,111889100.77898714,22198.355557514733,66132.82343754619,852695.127129365,1.93476445493e-09,2.4049424229832915e-16,143.72153176293844,1999.9877114521582
H2,1_F_earth,10_M_earth,3000,166081517.23485002,73978.96537252009,66132.82343754619,1336736.3986282765,1.93476445493e-09,6.740045215484835e-17,143.72153176293844,2999.992716727176
H2,1_F_earth,10_M_earth,4000,231363335.8919761,171775.7899518519,66132.82343754619,1760270.8915811083,1.93476445493e-09,6.740045215484835e-17,143.72153176293844,3999.9901668102457
H2,1_F_earth,10_M_earth,5000,336054535.48544264,399696.6099283133,66132.82343754619,2259437.826381011,1.93476445493e-09,3.568139895349791e-17,143.72153176293844,4999.992314645373
H2,1_F_earth,10_M_earth,6000,489771629.8896403,870783.3155759221,66132.82343754619,2788857.2527709324,1.93476445493e-09,1.888952062745314e-17,143.72153176293844,5999.994248033515
H2,1_F_earth,10_M_earth,7000,692301763.3494059,1645089.3587553373,66132.82343754619,3242644.6510338183,1.93476445493e-09,1.888952062745314e-17,143.72153176293844,6999.993265845506
H2,1000_F_earth,1_M_earth,200,10769459143.186838,3152.693458923215,20659.1981,30994.844957521334,7.47831714e-07,7.937450580337896e-15,875.864298,200.00070675253107
H2,1000_F_earth,1_M_earth,300,10859628662.684925,4120.847804358159,20659.1981,36162.65573086547,7.47831714e-07,7.937450580337896e-15,875.864298,300.0006021823484
H2,1000_F_earth,1_M_earth,500,11042713997.547886,6477.778260520233,20659.1981,46498.27727755372,7.47831714e-07,7.937450580337896e-15,875.864298,500.00039304198305
H2,1000_F_earth,1_M_earth,1000,11976113344.99968,16484.953162921713,20659.1981,74584.20823555713,7.47831714e-07,3.4452512982259196e-15,875.864298,999.9999305840176
H2,1000_F_earth,1_M_earth,2000,13901695409.520658,60472.15471704114,20659.1981,137496.71878181555,7.47831714e-07,6.490836153064366e-16,875.864298,1999.9998202407212
H2,1000_F_earth,1_M_earth,3000,15416493873.965698,141600.10642478304,20659.1981,202656.1081707244,7.47831714e-07,2.817348146810743e-16,875.864298,2999.9998183607345
H2,1000_F_earth,1_M_earth,4000,16461753043.872746,251734.56917893016,20659.1981,263321.7440510485,7.47831714e-07,2.817348146810743e-16,875.864298,3999.999732848653
H2,1000_F_earth,1_M_earth,5000,18244131535.07957,447619.5280126227,20659.1981,335221.762556174,7.47831714e-07,1.2228702732837547e-16,875.864298,4999.999811411446
H2,1000_F_earth,1_M_earth,6000,19517488745.21894,671528.2854126104,20659.1981,398134.27517791983,7.47831714e-07,1.2228702732837547e-16,875.864298,5999.9997656834275
H2,1000_F_earth,1_M_earth,7000,21647156228.214794,1062601.0309541582,20659.1981,476774.92054306716,7.47831714e-07,5.3078697674403537e-17,875.864298,6999.999850244738
H2,1000_F_earth,10_M_earth,200,937311552.6553192,12017.660935771695,60251.44852583345,128392.09570251348,1.955545654344e-09,3.0717112467538146e-15,142.54160285231836,199.9974506009005
H2,1000_F_earth,10_M_earth,300,963348436.0910203,15995.548845713412,60251.44852583345,162461.7508023267,1.955545654344e-09,3.0717112467538146e-15,142.54160285231836,299.99301365308077
H2,1000_F_earth,10_M_earth,500,1063713439.4906225,28490.90106813162,60251.44852583345,238345.55554694837,1.955545654344e-09,1.6255666816385096e-15,142.54160285231836,499.9901592516531
H2,1000_F_earth,10_M_earth,1000,1329790031.9569054,89578.96605301356,60251.44852583345,447415.0956321274,1.955545654344e-09,4.552538129586589e-16,142.54160285231836,999.9909123355671
H2,1000_F_earth,10_M_earth,2000,1869576399.3192143,380803.1265928451,60251.44852583345,865553.3237082561,1.955545654344e-09,2.409228506802409e-16,142.54160285231836,1999.9877854739336
H2,1000_F_earth,10_M_earth,3000,2774395657.9232593,1277593.0963001924,60251.44852583345,1361126.691627943,1.955545654344e-09,6.747249906136982e-17,142.54160285231836,2999.9927660743065
H2,1000_F_earth,10_M_earth,4000,3864861849.620903,2975760.5007016226,60251.44852583345,1794751.7402990481,1.955545654344e-09,6.747249906136982e-17,142.54160285231836,3999.9902344799
H2,1000_F_earth,10_M_earth,5000,5614255688.242254,6940465.6592681045,60251.44852583345,2305811.13739212,1.955545654344e-09,3.5706821895111335e-17,142.54160285231836,4999.992370053056
H2,1000_F_earth,10_M_earth,6000,8183740808.820684,15146577.059199046,60251.44852583345,2847843.780146727,1.955545654344e-09,1.889624880634024e-17,142.54160285231836,5999.99429126423
H2,1000_F_earth,10_M_earth,7000,11570509469.35585,28648309.89754407,60251.44852583345,3312442.495409059,1.955545654344e-09,1.889624880634024e-17,142.54160285231836,6999.99331665453
H2O,1_F_earth,1_M_earth,200,7493488821.854748,1549.9627681827226,22376.114987365167,25046.99996188437,3.981246387643e-09,1.4234437844797687e-14,126.8018043700962,199.99398145760318
H2O,1_F_earth,1_M_earth,300,8560720264.06579,1924.7313340064288,22376.114987365167,26382.4000146463,3.981246387643e-09,1.4234437844797687e-14,126.8018043700962,299.985759202471
H2O,1_F_earth,1_M_earth,500,10452351068.517527,2749.6649657352004,22376.114987365167,29053.20012017016,3.981246387643e-09,1.4234437844797687e-14,126.8018043700962,499.9693146922067
H2O,1_F_earth,1_M_earth,1000,15159808747.983604,5636.1052397728445,22376.114987365167,35730.20038397981,3.981246387643e-09,1.4234437844797687e-14,126.8018043700962,999.9282034165459
H2O,1_F_earth,1_M_earth,2000,29148246630.289818,19732.687550898216,22376.114987365167,50420.11922471559,3.981246387643e-09,7.356530138455399e-15,126.8018043700962,1999.9061197574533
H2O,1_F_earth,1_M_earth,3000,53120857381.27135,59148.00173964381,22376.114987365167,66445.73950804934,3.981246387643e-09,3.801944008472489e-15,126.8018043700962,2999.912228083593
H2O,1_F_earth,1_M_earth,4000,94784336468.0816,161914.48526885192,22376.114987365167,83806.92108062425,3.981246387643e-09,1.9648907802333515e-15,126.8018043700962,3999.92787941509
H2O,1_F_earth,1_M_earth,5000,160193762061.63495,374865.5121804417,22376.114987365167,99164.61707826218,3.981246387643e-09,1.9648907802333515e-15,126.8018043700962,4999.909258993085
H2O,1_F_earth,1_M_earth,6000,280849264032.12946,920674.6408574991,22376.114987365167,118529.08663244985,3.981246387643e-09,1.0154793888711647e-15,126.8018043700962,5999.933340247059
H2O,1_F_earth,1_M_earth,7000,470020774075.77466,1961783.1246561974,22376.114987365167,134554.5795636044,3.981246387643e-09,1.0154793888711647e-15,126.8018043700962,6999.921990425256
H2O,1_F_earth,10_M_earth,200,494933345.72557926,2142.820953085706,18720.78048320904,24968.983589124113,7.370587367087e-09,9.033042068396804e-15,169.702981244422,199.99888403943896
H2O,1_F_earth,10_M_earth,300,559938889.5359498,2530.98926497084,18720.78048320904,28093.02653535416,7.370587367087e-09,9.033042068396804e-15,169.702981244422,299.99520063887064
H2O,1_F_earth,10_M_earth,500,667903837.2681737,3281.838624885707,18720.78048320904,34341.11242781426,7.370587367087e-09,9.033042068396804e-15,169.702981244422,499.98783383773406
H2O,1_F_earth,10_M_earth,1000,903094623.0766474,5390.837980580974,18720.78048320904,49961.327158964494,7.370587367087e-09,9.033042068396804e-15,169.702981244422,999.9694168348924
H2O,1_F_earth,10_M_earth,2000,1480930294.0435188,12795.818239568574,18720.78048320904,84177.57065668552,7.370587367087e-09,4.5735204943523635e-15,169.702981244422,1999.9595346807935
H2O,1_F_earth,10_M_earth,3000,2188339449.0829,25507.69353329136,18720.78048320904,116905.92889123346,7.370587367087e-09,4.5735204943523635e-15,169.702981244422,2999.9374260728505
H2O,1_F_earth,10_M_earth,4000,3309031023.152887,52287.11267133737,18720.78048320904,155585.5963437332,7.370587367087e-09,2.315619649934118e-15,169.702981244422,3999.949171616466
H2O,1_F_earth,10_M_earth,5000,4733629675.292717,94638.43545262488,18720.78048320904,189801.78874638642,7.370587367087e-09,2.315619649934118e-15,169.702981244422,4999.935901527153
H2O,1_F_earth,10_M_earth,6000,6726630290.573511,165991.29954138046,18720.78048320904,224017.98114903967,7.370587367087e-09,2.315619649934118e-15,169.702981244422,5999.92263143784
H2O,1_F_earth,10_M_earth,7000,9930328912.882399,313068.81214539555,18720.78048320904,268648.5758749174,7.370587367087e-09,1.1724216322595246e-15,169.702981244422,6999.945596619952
H2O,1000_F_earth,1_M_earth,200,192198184871.70712,2474.6750822506465,1439.12222,1512.1673882137516,1e-10,2.7122725793320297e-13,664.207,205.51711053491857
H2O,1000_F_earth,1_M_earth,300,209980978175.06802,2728.2835832141595,1439.12222,1547.7439509730937,1e-10,2.7122725793320297e-13,664.207,304.32860830748155
H2O,1000_F_earth,1_M_earth,500,238036057510.43005,3149.0559370971946,1439.12222,1618.8970764917779,1e-10,2.7122725793320297e-13,664.207,501.9516038526075
H2O,1000_F_earth,1_M_earth,1000,289078737794.5874,3997.7971449247407,1439.12222,1796.779890288488,1e-10,2.7122725793320297e-13,664.207,996.0090927154224
H2O,1000_F_earth,1_M_earth,2000,364121726234.159,5487.171721447855,1439.12222,2152.5455178819084,1e-10,2.7122725793320297e-13,664.207,1984.1240704410525
H2O,1000_F_earth,1_M_earth,3000,427198608841.97174,6990.259710311492,1439.12222,2508.311145475329,1e-10,2.7122725793320297e-13,664.207,2972.239048166682
H2O,1000_F_earth,1_M_earth,4000,486399449354.76556,8613.977753334293,1439.12222,2864.0767730687494,1e-10,2.7122725793320297e-13,664.207,3960.3540258923117
H2O,1000_F_earth,1_M_earth,5000,544882698434.8567,10412.479831072023,1439.12222,3219.84240066217,1e-10,2.7122725793320297e-13,664.207,4948.469003617942
H2O,1000_F_earth,1_M_earth,6000,653966169410.9142,13951.103261749618,1439.12222,3759.109567015891,1e-10,1.5848931924611142e-13,664.207,5957.616289654558
H2O,1000_F_earth,1_M_earth,7000,720435994054.5258,16571.215080510898,1439.12222,4145.545805991437,1e-10,1.5848931924611142e-13,664.207,6949.673007307315
H2O,1000_F_earth,10_M_earth,200,35293069904.30126,166078.917552548,18106.817730392064,31072.256496507394,2.9891606381848e-08,6.9608900894796715e-15,174.72954584969773,199.99973211420314
H2O,1000_F_earth,10_M_earth,300,40019220192.96779,204996.5268962427,18106.817730392064,37554.941082563535,2.9891606381848e-08,6.9608900894796715e-15,174.72954584969773,299.9986720390843
