specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
CO2,1_F_earth,10_M_earth,4000,104097.61207047707,336.80870045612664,11.644835850257094,49.67159571858207,15021525994.659431,48602273.8514292
CO2,1_F_earth,10_M_earth,5000,153848.6775791065,497.77869186115896,12.981662329561717,277.48136499782424,19160201830.063087,61992994.36851214
CO2,1_F_earth,10_M_earth,6000,245671.2660691072,794.8714501551402,13.629437194642689,1032.554075045745,25774505678.310238,83393630.16832116
CO2,1_F_earth,10_M_earth,7000,364031.2785798012,1177.826267338729,14.811455758011126,2643.814050736792,33483724770.44176,108336873.45995834
CO2,1000_F_earth,1_M_earth,200,600.0532741811586,64.96367933788238,1.1864880933831086e-09,5.266582605261078e-12,53800943821.31267,5824661597.343426
CO2,1000_F_earth,1_M_earth,300,577.7543129659111,62.549522748316186,1.2539324302900018e-07,2.9601437332421397e-08,51676981188.33977,5594714635.380114
CO2,1000_F_earth,1_M_earth,500,551.9229395468283,59.7529359586776,1.7298473954639227e-05,4.183530919900766e-05,49129672167.47582,5318934844.607835
CO2,1000_F_earth,1_M_earth,1000,525.1437026603779,56.85373045000252,0.0016902798887734,0.0093033554670803,46189594871.55756,5000632708.949529
CO2,1000_F_earth,1_M_earth,2000,514.2258048462184,55.67172404630327,0.0195782711202883,0.103417057983779,44168581171.21658,4781831326.446314
CO2,1000_F_earth,1_M_earth,3000,520.1302454778645,56.31095760166925,0.0420322724589675,0.1938843807809564,43640140645.81825,4724620671.462444
CO2,1000_F_earth,1_M_earth,4000,533.3651714903482,57.7438128605775,0.0584852435748235,0.2415357133822051,43725138633.53914,4733822824.431612
CO2,1000_F_earth,1_M_earth,5000,551.346656167458,59.690545683887,0.0701000746976365,0.2756128554382394,44175263530.20043,4782554779.921073
CO2,1000_F_earth,1_M_earth,6000,573.0670703544323,62.042066928820006,0.0766324456544102,0.3966687810237026,44886987434.25434,4859608277.451203
CO2,1000_F_earth,1_M_earth,7000,598.0694056868549,64.7488994137359,0.0814477570242363,0.9927149419860868,45807586114.31729,4959275223.743761
CO2,1000_F_earth,10_M_earth,200,67.48395700773915,67.48395700773915,7.241683254971224e-15,1.1396561168970278e-05,18419805.236770045,18419805.236770045
CO2,1000_F_earth,10_M_earth,300,69.09318169527565,69.09318169527565,2.8203375344841057e-10,0.0030512920423566,18353619.595593628,18353619.595593628
CO2,1000_F_earth,10_M_earth,500,73.71340902692154,73.71340902692154,2.700870679449352e-06,0.2090874809485093,18565525.459833626,18565525.459833626
CO2,1000_F_earth,10_M_earth,1000,90.57208856449866,90.57208856449866,0.0017374241822167,3.3216525710936105,20086255.55364833,20086255.55364833
CO2,1000_F_earth,10_M_earth,2000,156.7518459232309,156.7518459232309,0.0284519899179393,8.935608530491193,26984694.723663826,26984694.723663826
CO2,1000_F_earth,10_M_earth,3000,263.0606462248786,263.0606462248786,0.0583252339030191,11.919233524656986,36505887.60555467,36505887.60555467
CO2,1000_F_earth,10_M_earth,4000,443.9724451019405,443.9724451019405,0.0903964264820967,52.79074145016504,50719766.5356412,50719766.5356412
CO2,1000_F_earth,10_M_earth,5000,748.4092300326371,748.4092300326371,0.2877051408590946,326.9519985672472,71609189.05486746,71609189.05486746
CO2,1000_F_earth,10_M_earth,6000,1370.7743330886778,1370.7743330886778,1.3187424268190246,1208.6084758135628,106843267.82672133,106843267.82672133
CO2,1000_F_earth,10_M_earth,7000,2299.771606962347,2299.771606962347,5.081394912813289,3046.0768673439816,153669072.2596346,153669072.2596346
