file,T_inf,weighted_mass_loss_kg_s,species,Mdot_kg_s,lambda_j,v_th_m_s,effusion_velocity_m_s,n_exo_m3,exobase_altitude_km,exobase_radius_m,T_exo_K,exobase_index,jeans_valid,escape_regime,atmosphere_type,mass_case,flux_case
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,N,2.436033713532765e-158,354.8867588993127,486.649629993734,3.660683695946437e-150,506.39807557638727,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,NO,0.0,760.471626212813,332.4449865878832,0.0,2.051632773826287,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,N2,3.3412995787955815e-305,709.7735177986254,344.11325343049356,3.873517523599452e-304,3282092769.6276274,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,NH3,2.2093487646033616e-184,430.9339215205941,441.62734311811,3.7900431424890235e-183,3653172638.412954,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,NO2,0.0,1166.0564935263135,268.47354631332877,0.0,1.6662190124302064e-13,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,N2O,0.0,1115.358385112126,274.5074130983837,0.0,0.0037097004088945695,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,H2S,0.0,861.8678430411882,312.27768907621373,0.0,243957129432.8617,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,S,0.0,811.1697346270006,321.8884741462549,0.0,1240254201.7891977,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,S2,0.0,1622.3394692540012,227.60952285460752,0.0,953081998.5808632,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,SO2,0.0,1622.3394692540012,227.60952285460752,0.0,26196.72688210619,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
