file,T_inf,atmosphere_type,mass_case,flux_case,dominant_species,second_species,dominant_Mdot,second_Mdot,dominant_to_second_ratio,log10_ratio
H2O_atmosphere_10_M_earth_1_F_earth.csv,1000,H2O,10_M_earth,1_F_earth,H,H2,1028.0991723920442,576.6185989236578,1.782979554095446,0.25114636303265286
H2O_atmosphere_10_M_earth_1_F_earth.csv,2000,H2O,10_M_earth,1_F_earth,H2,H,6735.731877272014,2376.8293376938163,2.833914816874291,0.4523867918827045
H2O_atmosphere_10_M_earth_1_F_earth.csv,3000,H2O,10_M_earth,1_F_earth,H2,H,12292.710291659429,2674.7088024232585,4.595906021815295,0.6623711395496846
H2O_atmosphere_10_M_earth_1_F_earth.csv,5000,H2O,10_M_earth,1_F_earth,H2,H,15525.38526150798,2448.726447634111,6.340187682665885,0.8021021140867335
H2O_atmosphere_10_M_earth_1_F_earth.csv,6000,H2O,10_M_earth,1_F_earth,H2,H2O,15578.18396777269,8953.259452859409,1.7399455527670957,0.2405356583384764
H2O_atmosphere_10_M_earth_1_F_earth.csv,7000,H2O,10_M_earth,1_F_earth,H2O,H2,24640.09059256716,15201.2286619334,1.620927567142672,0.20976360837529814
H2_atmosphere_10_M_earth_1000_F_earth.csv,200,H2,10_M_earth,1000_F_earth,H,H2,111.97516166492538,0.0471192120435538,2376.4226269620794,3.37592367883257
H2_atmosphere_10_M_earth_1000_F_earth.csv,300,H2,10_M_earth,1000_F_earth,H,H2,2147.716840069126,33.59530689675435,63.92907338723009,1.8056984096469215
H2_atmosphere_10_M_earth_1000_F_earth.csv,500,H2,10_M_earth,1000_F_earth,H,H2,12264.70889575072,2403.6801595483757,5.102471244782883,0.7077805659079889
H2_atmosphere_10_M_earth_1000_F_earth.csv,1000,H2,10_M_earth,1000_F_earth,H,H2,20900.528268950504,15476.986998240976,1.3504261695978639,0.13047084545591509
H2_atmosphere_10_M_earth_1000_F_earth.csv,2000,H2,10_M_earth,1000_F_earth,H,H2,17023.41982509695,16684.955529304843,1.0202855977169156,0.008721756223866938
H2_atmosphere_10_M_earth_1000_F_earth.csv,3000,H2,10_M_earth,1000_F_earth,H2,H,14102.33857769493,14012.904813911771,1.0063822430089135,0.0027629653117677384
H2_atmosphere_10_M_earth_1000_F_earth.csv,5000,H2,10_M_earth,1000_F_earth,H2,H,10932.664613698216,10794.040807147116,1.0128426239096033,0.005541969666982628
H2_atmosphere_10_M_earth_1000_F_earth.csv,6000,H2,10_M_earth,1000_F_earth,H2,H,10077.287736787175,9944.570244907052,1.0133457242104646,0.005757639339746142
H2_atmosphere_10_M_earth_1000_F_earth.csv,7000,H2,10_M_earth,1000_F_earth,H2,H,9174.912088247487,9052.173999312494,1.0135589626253665,0.00584901834524629
H2_atmosphere_10_M_earth_1_F_earth.csv,200,H2,10_M_earth,1_F_earth,H,H2,0.8243912350224055,0.0314258032028933,26.232940800269052,1.4188469791812364
H2_atmosphere_10_M_earth_1_F_earth.csv,300,H2,10_M_earth,1_F_earth,H2,H,29.361091966539394,18.20154163322817,1.6131101726536556,0.20766402996897101
H2_atmosphere_10_M_earth_1_F_earth.csv,500,H2,10_M_earth,1_F_earth,H2,H,3193.911499418381,129.85820049275128,24.595377783605326,1.3908534976851485
H2_atmosphere_10_M_earth_1_F_earth.csv,1000,H2,10_M_earth,1_F_earth,H2,H,31380.165639228588,266.07893169404537,117.93555182832557,2.0716447434787266
H2_atmosphere_10_M_earth_1_F_earth.csv,2000,H2,10_M_earth,1_F_earth,H2,H,39665.82705007934,228.2291454703474,173.7982542428303,2.240045409762168
H2_atmosphere_10_M_earth_1_F_earth.csv,3000,H2,10_M_earth,1_F_earth,H2,H,34111.18199812144,188.0332945015876,181.41032995533374,2.25866201323603
H2_atmosphere_10_M_earth_1_F_earth.csv,5000,H2,10_M_earth,1_F_earth,H2,H,27376.44203044145,149.22815442216805,183.45359919813257,2.2635262366510003
H2_atmosphere_10_M_earth_1_F_earth.csv,6000,H2,10_M_earth,1_F_earth,H2,H,24475.39390074562,133.29198248466304,183.6224013215636,2.263925662578075
H2_atmosphere_10_M_earth_1_F_earth.csv,7000,H2,10_M_earth,1_F_earth,H2,H,22801.40063314796,124.12714284555274,183.69391343776422,2.264094766517103
H2_atmosphere_1_M_earth_1_F_earth.csv,200,H2,1_M_earth,1_F_earth,H,H2,3.093298771056561e-10,1.099084293922178e-16,2814432.6947097527,6.449390867256066
H2_atmosphere_1_M_earth_1_F_earth.csv,300,H2,1_M_earth,1_F_earth,H,H2,8.045690453718138e-07,1.331250483281908e-09,604.3708944903623,2.781303541261638
H2_atmosphere_1_M_earth_1_F_earth.csv,500,H2,1_M_earth,1_F_earth,H2,H,0.0006345042721145,0.0003901140080347,1.6264585712032722,0.21124300550477262
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,H2,1_M_earth,1_F_earth,H2,H,8.428806944398376,0.0277932124655852,303.2685392102587,2.481827359351011
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,H2,1_M_earth,1_F_earth,H2,H,589.8095168813303,0.1503275856676827,3923.494907881881,3.5936730932953864
H2_atmosphere_1_M_earth_1_F_earth.csv,3000,H2,1_M_earth,1_F_earth,H2,H,1836.221908965368,0.2118234181256285,8668.644502168967,3.9379511930642623
H2_atmosphere_1_M_earth_1_F_earth.csv,5000,H2,1_M_earth,1_F_earth,H2,CH4,3355.7069601956464,1.735367010163118,1933.7160039018042,3.286392691569668
H2_atmosphere_1_M_earth_1_F_earth.csv,6000,H2,1_M_earth,1_F_earth,H2,CH4,3650.5993031149537,14.55423764328194,250.82724307446128,2.3993747047039644
H2_atmosphere_1_M_earth_1_F_earth.csv,7000,H2,1_M_earth,1_F_earth,H2,CH4,3671.328702477056,57.92140532315233,63.384662060496545,1.801984179200852
N2_atmosphere_10_M_earth_1000_F_earth.csv,200,N2,10_M_earth,1000_F_earth,H,H2,3.969782481056746e-05,5.440798000474365e-12,7296323.9596666405,6.863104108595045
N2_atmosphere_10_M_earth_1000_F_earth.csv,300,N2,10_M_earth,1000_F_earth,H,H2,0.0108431905951553,7.1198082289687e-07,15229.610470457757,4.182688795476938
N2_atmosphere_10_M_earth_1000_F_earth.csv,500,N2,10_M_earth,1000_F_earth,H,H2,0.7439458160251102,0.006805689312861,109.3123388132403,2.0386691864333004
N2_atmosphere_10_M_earth_1000_F_earth.csv,1000,N2,10_M_earth,1000_F_earth,H,H2,11.94765880461052,4.291728820416528,2.7838801808197555,0.4446505391538149
N2_atmosphere_10_M_earth_1000_F_earth.csv,2000,N2,10_M_earth,1000_F_earth,H2,H,66.92363892601338,31.79073847024221,2.1051300519067024,0.32327893108890987
N2_atmosphere_10_M_earth_1000_F_earth.csv,3000,N2,10_M_earth,1000_F_earth,H2,H,136.6140175709418,37.73385670943585,3.6204626159186017,0.5587640674127493
N2_atmosphere_10_M_earth_1000_F_earth.csv,5000,N2,10_M_earth,1000_F_earth,N,H2,576.4748854884492,187.98019596172676,3.06667881975089,0.48666829371511827
N2_atmosphere_10_M_earth_1000_F_earth.csv,6000,N2,10_M_earth,1000_F_earth,N,H2,2257.2366977367697,195.9734283139589,11.518075267431499,1.061379912197305
N2_atmosphere_10_M_earth_1000_F_earth.csv,7000,N2,10_M_earth,1000_F_earth,N,N2,5529.43076845911,231.8811926698327,23.845964844299676,1.3774148993460194
N2_atmosphere_10_M_earth_1_F_earth.csv,200,N2,10_M_earth,1_F_earth,H,H2,0.0010506682676715,1.1168603204470946e-09,940733.8128468052,5.973466754175753
N2_atmosphere_10_M_earth_1_F_earth.csv,300,N2,10_M_earth,1_F_earth,H,H2,0.2845010945817534,0.0001434920162857,1982.6963335388432,3.2972562034805346
N2_atmosphere_10_M_earth_1_F_earth.csv,500,N2,10_M_earth,1_F_earth,H,H2,19.3901529153256,1.3504261253271892,14.358543982276439,1.1571104028225194
N2_atmosphere_10_M_earth_1_F_earth.csv,1000,N2,10_M_earth,1_F_earth,H2,H,842.2076261761224,310.67336851487386,2.710910272747761,0.43311514329224876
N2_atmosphere_10_M_earth_1_F_earth.csv,2000,N2,10_M_earth,1_F_earth,H2,H,12762.41846755474,808.8132342855531,15.779190951082958,1.1980847317955867
N2_atmosphere_10_M_earth_1_F_earth.csv,3000,N2,10_M_earth,1_F_earth,H2,H,25454.134274724147,942.445699243582,27.00859507890368,1.431501993837632
N2_atmosphere_10_M_earth_1_F_earth.csv,5000,N2,10_M_earth,1_F_earth,H2,H,35470.15843259111,906.4649800762184,39.13020272400228,1.5925120978799154
N2_atmosphere_10_M_earth_1_F_earth.csv,6000,N2,10_M_earth,1_F_earth,H2,H,36267.34824681137,859.0065651221535,42.220106014735805,1.625519319486961
N2_atmosphere_10_M_earth_1_F_earth.csv,7000,N2,10_M_earth,1_F_earth,H2,H,35905.45267311412,810.7553899677919,44.28641871198723,1.646270561826697
N2_atmosphere_1_M_earth_1000_F_earth.csv,200,N2,1_M_earth,1000_F_earth,H,H2,5.5201455183822675e-08,7.117800096818e-18,7755409597.482288,9.88960473976778
N2_atmosphere_1_M_earth_1000_F_earth.csv,300,N2,1_M_earth,1000_F_earth,H,H2,9.6984918011914e-06,3.233290490582208e-13,29995732.92112403,7.477059478032469
N2_atmosphere_1_M_earth_1000_F_earth.csv,500,N2,1_M_earth,1000_F_earth,H,H2,0.0017569972603596,1.8275851353876148e-08,96137.64230944875,4.982893467235608
N2_atmosphere_1_M_earth_1000_F_earth.csv,1000,N2,1_M_earth,1000_F_earth,H,H2,0.1726269327927166,0.0003897737655402,442.8900763843543,2.6462959493753018
N2_atmosphere_1_M_earth_1000_F_earth.csv,2000,N2,1_M_earth,1000_F_earth,H,H2,1.737824550794363,0.0895595699329647,19.40411898019524,1.2878939289247449
N2_atmosphere_1_M_earth_1000_F_earth.csv,3000,N2,1_M_earth,1000_F_earth,H,H2,3.386410884148606,0.5208675759062983,6.501481452855507,0.8130123279493892
N2_atmosphere_1_M_earth_1000_F_earth.csv,5000,N2,1_M_earth,1000_F_earth,H,H2,4.889492763809091,1.8032576404987568,2.7114776358062307,0.4332060267371752
N2_atmosphere_1_M_earth_1000_F_earth.csv,6000,N2,1_M_earth,1000_F_earth,H,H2,5.054032251008303,2.3075099761030318,2.1902536948263394,0.34049442163555343
N2_atmosphere_1_M_earth_1000_F_earth.csv,7000,N2,1_M_earth,1000_F_earth,H,H2,5.200555898358705,2.7446037390810485,1.894829415374899,0.27757011810565624
N2_atmosphere_1_M_earth_1_F_earth.csv,200,N2,1_M_earth,1_F_earth,H,H2,2.633516644136284e-14,4.0426390466886685e-26,651435018986.7684,11.813871101087816
N2_atmosphere_1_M_earth_1_F_earth.csv,300,N2,1_M_earth,1_F_earth,H,H2,6.605779110659584e-10,4.2405644223439806e-17,15577594.048219237,7.192500381945695
N2_atmosphere_1_M_earth_1_F_earth.csv,500,N2,1_M_earth,1_F_earth,H,H2,4.05119790634172e-06,3.206902852365901e-09,1263.2742845181413,3.1014976556384313
N2_atmosphere_1_M_earth_1_F_earth.csv,1000,N2,1_M_earth,1_F_earth,H2,H,0.0049795512566109,0.0032112944590217,1.5506367666227305,0.19051007716481075
N2_atmosphere_1_M_earth_1_F_earth.csv,2000,N2,1_M_earth,1_F_earth,H2,H,5.757482496061456,0.0711096235040147,80.96629137315571,1.90830424705609
N2_atmosphere_1_M_earth_1_F_earth.csv,3000,N2,1_M_earth,1_F_earth,H2,H,50.92896619990759,0.1653704269308169,307.96900718659833,2.488507012977399
N2_atmosphere_1_M_earth_1_F_earth.csv,5000,N2,1_M_earth,1_F_earth,H2,H,236.0746826726897,0.2714683163780524,869.6214933013664,2.939330265101728
N2_atmosphere_1_M_earth_1_F_earth.csv,6000,N2,1_M_earth,1_F_earth,H2,H,329.3725346666538,0.2959913459881556,1112.7775833008104,3.0464083682898675
N2_atmosphere_1_M_earth_1_F_earth.csv,7000,N2,1_M_earth,1_F_earth,H2,H,399.90710248905054,0.3013966507546401,1326.8465375702049,3.122820695478963
