file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index
CO2_atmosphere_1_M_earth_1_F_earth.csv,1000,CO2,1_M_earth,1_F_earth,0.14726333828900864,H,7.4474068567633935,3.721861245700689,True,962.5256653559917,378.2027060926454,6687711.508892645,305
CO2_atmosphere_1_M_earth_1_F_earth.csv,2000,CO2,1_M_earth,1_F_earth,2.461046883692293,H,3.703356155957719,62.19928956309971,True,1917.8256550276342,440.28218458068466,6749790.987380684,306
CO2_atmosphere_1_M_earth_1_F_earth.csv,3000,CO2,1_M_earth,1_F_earth,5.182635062708111,H,2.448319745493114,130.98337128670215,True,2874.2063392305286,503.02784114621954,6812536.643946219,307
CO2_atmosphere_1_M_earth_1_F_earth.csv,5000,CO2,1_M_earth,1_F_earth,7.815908132474659,H,1.4420694647240406,197.4930200887447,False,4790.131984904318,630.5199303992372,6940028.733199237,309
CO2_atmosphere_1_M_earth_1_F_earth.csv,6000,CO2,1_M_earth,1_F_earth,8.150457247013486,H,1.1893465030415333,205.30753403378537,False,5752.6500820196225,697.2726467093435,7006781.449509343,311
CO2_atmosphere_1_M_earth_1_F_earth.csv,7000,CO2,1_M_earth,1_F_earth,8.478315200431206,H,1.0096298376345236,209.32315419740146,False,6713.636313070701,763.0235264188713,7072532.329218871,312
CO2_atmosphere_1_M_earth_1000_F_earth.csv,200,CO2,1_M_earth,1000_F_earth,5.266582605261078e-12,H,30.088026247247168,7.471696701976013e-10,True,219.7923485172654,939.6674742024569,7249176.277002457,314
CO2_atmosphere_1_M_earth_1000_F_earth.csv,300,CO2,1_M_earth,1000_F_earth,2.9601437332421394e-08,H,20.92574351003714,4.199553643561211e-06,True,315.6932213646992,947.3517005803772,7256860.503380377,314
CO2_atmosphere_1_M_earth_1000_F_earth.csv,500,CO2,1_M_earth,1000_F_earth,4.183530919900766e-05,H,12.989596066534103,0.005935172106787393,True,507.49496705956665,962.7201533362177,7272228.956136217,314
CO2_atmosphere_1_M_earth_1000_F_earth.csv,1000,CO2,1_M_earth,1000_F_earth,0.009303355467080325,H,6.64245909367879,1.3198663264344388,True,987.155691312538,1001.5518538212488,7311060.656621248,315
