Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
H2,1_F_earth,1_M_earth,200,20813492.051672705,0.40146923528985606,3135.2655049646314,3264.5885986322223,1.3738237958832637e-12,2.8370929412197915e-13,180.0,193.8731550177112
H2,1_F_earth,1_M_earth,300,20268070.960373823,0.39513121071560087,3135.2655049646314,3315.6776517088565,1.3738237958832637e-12,2.8370929412197915e-13,180.0,263.2389301062673
H2,1_F_earth,1_M_earth,500,20012304.456460427,0.3984704276103409,3135.2655049646314,3417.855757862125,1.3738237958832637e-12,2.8370929412197915e-13,180.0,401.9704802833793
H2,1_F_earth,1_M_earth,1000,20714847.2460842,0.4344012850806905,3135.2655049646314,3673.3010232452966,1.3738237958832637e-12,2.8370929412197915e-13,180.0,748.7993557261595
H2,1_F_earth,1_M_earth,2000,23433794.145783998,0.5429936219232573,3135.2655049646314,4184.191554011639,1.3738237958832637e-12,2.8370929412197915e-13,180.0,1442.4571066117198
H2,1_F_earth,1_M_earth,3000,28529698.277207352,0.7866420243366853,3135.2655049646314,5137.7073402905735,1.3738237958832637e-12,1.912534135876122e-13,180.0,2357.300844860097
H2,1_F_earth,1_M_earth,5000,38590246.98314792,1.3232816702304901,3135.2655049646314,6456.512656363783,1.3738237958832637e-12,1.912534135876122e-13,180.0,3901.485841214776
H2,1_F_earth,1_M_earth,6000,45140920.599796735,1.7119180118300643,3135.2655049646314,7115.915314400388,1.3738237958832637e-12,1.912534135876122e-13,180.0,4673.578339392116
H2,1_F_earth,1_M_earth,7000,56822151.82250172,2.737642675535878,3135.2655049646314,8822.932939087621,1.3738237958832637e-12,1.2892728213968138e-13,180.0,5843.635582608391
H2,1_F_earth,10_M_earth,200,55909096.530799076,741.9954336620109,66132.82343754619,132687.8304648534,1.93476445493e-09,3.061881861342166e-15,143.72153176293844,199.9974889086272
H2,1_F_earth,10_M_earth,300,57500605.62668404,978.7018766595986,66132.82343754619,165964.6717612277,1.93476445493e-09,3.061881861342166e-15,143.72153176293844,299.99302700436533
H2,1_F_earth,10_M_earth,500,63544124.030563414,1718.6001814939207,66132.82343754619,240082.6351905724,1.93476445493e-09,1.6209420671545108e-15,143.72153176293844,499.9901339316133
H2,1_F_earth,10_M_earth,1000,76342980.49827866,4816.272398922422,66132.82343754619,429159.64759997214,1.93476445493e-09,8.581171005465874e-16,143.72153176293844,999.9852835226625
H2,1_F_earth,10_M_earth,2000,111889100.77898714,22198.355557514733,66132.82343754619,852695.127129365,1.93476445493e-09,2.4049424229832915e-16,143.72153176293844,1999.9877114521582
H2,1_F_earth,10_M_earth,3000,160151251.10952228,66957.62870591592,66132.82343754619,1291356.571064478,1.93476445493e-09,1.2731622312786816e-16,143.72153176293844,2999.9882647517557
H2,1_F_earth,10_M_earth,5000,336054535.48544264,399696.6099283133,66132.82343754619,2259437.826381011,1.93476445493e-09,3.568139895349791e-17,143.72153176293844,4999.992314645373
H2,1_F_earth,10_M_earth,6000,473447482.9295926,790026.16517702,66132.82343754619,2698098.8145852773,1.93476445493e-09,3.568139895349791e-17,143.72153176293844,5999.990732084843
H2,1_F_earth,10_M_earth,7000,692301763.3494059,1645089.3587553373,66132.82343754619,3242644.6510338183,1.93476445493e-09,1.888952062745314e-17,143.72153176293844,6999.993265845506
H2,1000_F_earth,1_M_earth,200,10301229884.313108,2943.4128559542696,20659.1981,30545.48526083749,7.47831714e-07,1.8286945207088065e-14,875.864298,200.00132163785509
H2,1000_F_earth,1_M_earth,300,10387477555.883963,3817.569923901716,20659.1981,35488.606204385775,7.47831714e-07,1.8286945207088065e-14,875.864298,300.0011260900419
H2,1000_F_earth,1_M_earth,500,11042713997.547886,6477.778260520233,20659.1981,46498.27727755372,7.47831714e-07,7.937450580337896e-15,875.864298,500.00039304198305
H2,1000_F_earth,1_M_earth,1000,11976113344.99968,16484.953162921713,20659.1981,74584.20823555713,7.47831714e-07,3.4452512982259196e-15,875.864298,999.9999305840176
H2,1000_F_earth,1_M_earth,2000,13367015490.223663,54569.14495575019,20659.1981,133002.9632885885,7.47831714e-07,1.4954117052810852e-15,875.864298,1999.9996638474472
H2,1000_F_earth,1_M_earth,3000,14845512986.541864,127700.74402779365,20659.1981,195915.4769350289,7.47831714e-07,6.490836153064366e-16,875.864298,2999.999660331843
H2,1000_F_earth,1_M_earth,5000,17592555626.27378,403703.91623797495,20659.1981,323987.37993137253,7.47831714e-07,2.817348146810743e-16,875.864298,4999.99964733657
H2,1000_F_earth,1_M_earth,6000,19517488745.21894,671528.2854126104,20659.1981,398134.27517791983,7.47831714e-07,1.2228702732837547e-16,875.864298,5999.9997656834275
H2,1000_F_earth,1_M_earth,7000,20900702695.971794,960241.5949282049,20659.1981,461046.78779966553,7.47831714e-07,1.2228702732837547e-16,875.864298,6999.999719955409
H2,1000_F_earth,10_M_earth,200,894842798.3597178,11187.063697082436,60251.44852583345,125294.47888161862,1.955545654344e-09,5.804381997989366e-15,142.54160285231836,199.99589115718933
H2,1000_F_earth,10_M_earth,300,963348436.0910203,15995.548845713412,60251.44852583345,162461.7508023267,1.955545654344e-09,3.0717112467538146e-15,142.54160285231836,299.99301365308077
H2,1000_F_earth,10_M_earth,500,1063713439.4906225,28490.90106813162,60251.44852583345,238345.55554694837,1.955545654344e-09,1.6255666816385096e-15,142.54160285231836,499.9901592516531
H2,1000_F_earth,10_M_earth,1000,1276649286.5401993,81356.43846717181,60251.44852583345,431927.26779898006,1.955545654344e-09,8.602589319701864e-16,142.54160285231836,999.9853534957795
