Dominant_spec,Instellation,Planet_mass,T_inf,Lim_flux[1/cm^2_s],Lim_flux[kg/s],Homopause_alt[km],Exobase_alt[km],Homopause_pressure[bar],Exobase_pressure[bar],Homopause_temp[K],Exobase_temp[K]
H2,1000_F_earth,1_M_earth,7000,202176326315.37027,9288592.869904451,20659.1981,461046.78779966553,7.47831714e-07,1.2228702732837547e-16,875.864298,6999.999719955409
H2,1000_F_earth,10_M_earth,200,11330887592.251831,141655.45218820244,60251.44852583345,125294.47888161862,1.955545654344e-09,5.804381997989366e-15,142.54160285231836,199.99589115718933
H2,1000_F_earth,10_M_earth,300,12198335687.036495,202542.5765054814,60251.44852583345,162461.7508023267,1.955545654344e-09,3.0717112467538146e-15,142.54160285231836,299.99301365308077
H2,1000_F_earth,10_M_earth,500,13469200886.82515,360764.1453858957,60251.44852583345,238345.55554694837,1.955545654344e-09,1.6255666816385096e-15,142.54160285231836,499.9901592516531
H2,1000_F_earth,10_M_earth,1000,16165486929.13599,1030170.5068948945,60251.44852583345,431927.26779898006,1.955545654344e-09,8.602589319701864e-16,142.54160285231836,999.9853534957795
H2,1000_F_earth,10_M_earth,2000,23673387174.42209,4821894.337319173,60251.44852583345,865553.3237082561,1.955545654344e-09,2.409228506802409e-16,142.54160285231836,1999.9877854739336
H2,1000_F_earth,10_M_earth,3000,33876343968.13979,14635555.492428899,60251.44852583345,1314665.7135089375,1.955545654344e-09,1.2749771298492021e-16,142.54160285231836,2999.9883411492597
H2,1000_F_earth,10_M_earth,5000,71090140340.0031,87883186.1497954,60251.44852583345,2305811.13739212,1.955545654344e-09,3.5706821895111335e-17,142.54160285231836,4999.992370053056
H2,1000_F_earth,10_M_earth,6000,100172420191.97491,173967045.57125926,60251.44852583345,2754923.062687021,1.955545654344e-09,3.5706821895111335e-17,142.54160285231836,5999.99079928367
H2,1000_F_earth,10_M_earth,7000,146510808851.20322,362757324.24968,60251.44852583345,3312442.495409059,1.955545654344e-09,1.889624880634024e-17,142.54160285231836,6999.99331665453
H2O,1_F_earth,1_M_earth,200,207098951306.40863,42472.45896717335,22376.114987365167,24913.42589856922,3.981246387643e-09,2.754277042898826e-14,126.8018043700962,199.99012603006315
H2O,1_F_earth,1_M_earth,300,236593919904.484,52544.02841018415,22376.114987365167,26182.01521737594,3.981246387643e-09,2.754277042898826e-14,126.8018043700962,299.9766366675838
H2O,1_F_earth,1_M_earth,500,288872893525.8358,74564.16581276641,22376.114987365167,28719.193854989375,3.981246387643e-09,2.754277042898826e-14,126.8018043700962,499.94965794262515
H2O,1_F_earth,1_M_earth,1000,441022250989.3151,163963.00645863413,22376.114987365167,35730.20038397981,3.981246387643e-09,1.4234437844797687e-14,126.8018043700962,999.9282034165459
H2O,1_F_earth,1_M_earth,2000,847967514299.4124,574054.3582334766,22376.114987365167,50420.11922471559,3.981246387643e-09,7.356530138455399e-15,126.8018043700962,1999.9061197574533
H2O,1_F_earth,1_M_earth,3000,1475125318475.0327,1553275.85656364,22376.114987365167,64442.09418475895,3.981246387643e-09,7.356530138455399e-15,126.8018043700962,2999.856002133613
H2O,1_F_earth,1_M_earth,5000,4660283959602.458,10905416.733708505,22376.114987365167,99164.61707826218,3.981246387643e-09,1.9648907802333515e-15,126.8018043700962,4999.909258993085
H2O,1_F_earth,1_M_earth,6000,7829910070288.972,24046677.774774704,22376.114987365167,114522.31307590014,3.981246387643e-09,1.9648907802333515e-15,126.8018043700962,5999.890638571081
H2O,1_F_earth,1_M_earth,7000,13103898889290.121,51123636.39252287,22376.114987365167,129880.00907353811,3.981246387643e-09,1.9648907802333515e-15,126.8018043700962,6999.872018149076
H2O,1_F_earth,10_M_earth,200,95596022489.8517,412169.37857071386,18720.78048320904,24671.436833816257,7.370587367087e-09,1.784092781702531e-14,169.702981244422,199.99814075595563
H2O,1_F_earth,10_M_earth,300,113558942131.90591,513299.6990358993,18720.78048320904,28093.02653535416,7.370587367087e-09,9.033042068396804e-15,169.702981244422,299.99520063887064
H2O,1_F_earth,10_M_earth,500,135454876636.39914,665576.421738648,18720.78048320904,34341.11242781426,7.370587367087e-09,9.033042068396804e-15,169.702981244422,499.98783383773406
H2O,1_F_earth,10_M_earth,1000,183152968936.64325,1093294.05354684,18720.78048320904,49961.327158964494,7.370587367087e-09,9.033042068396804e-15,169.702981244422,999.9694168348924
H2O,1_F_earth,10_M_earth,2000,286689850736.66174,2404906.4769316884,18720.78048320904,81201.75662126497,7.370587367087e-09,9.033042068396804e-15,169.702981244422,1999.9325828292094
H2O,1_F_earth,10_M_earth,3000,443808275344.692,5173112.187771075,18720.78048320904,116905.92889123346,7.370587367087e-09,4.5735204943523635e-15,169.702981244422,2999.9374260728505
H2O,1_F_earth,10_M_earth,5000,960008294505.013,19193238.43343934,18720.78048320904,189801.78874638642,7.370587367087e-09,2.315619649934118e-15,169.702981244422,4999.935901527153
H2O,1_F_earth,10_M_earth,6000,1364200690798.6343,33664024.291367374,18720.78048320904,224017.98114903967,7.370587367087e-09,2.315619649934118e-15,169.702981244422,5999.92263143784
H2O,1_F_earth,10_M_earth,7000,1930016466048.635,57617170.252275355,18720.78048320904,258234.17355169283,7.370587367087e-09,2.315619649934118e-15,169.702981244422,6999.909361348527
H2O,1000_F_earth,1_M_earth,200,1807306571850.562,23237.613471211334,1439.12222,1506.6817949387532,1e-10,4.641588833612773e-13,664.207,208.25489750095937
H2O,1000_F_earth,1_M_earth,300,1962398187768.121,25441.80794489087,1439.12222,1539.1640674424902,1e-10,4.641588833612773e-13,664.207,306.47661809092045
H2O,1000_F_earth,1_M_earth,500,2215901187689.898,29205.794341860954,1439.12222,1604.1286124499645,1e-10,4.641588833612773e-13,664.207,502.9200592708426
H2O,1000_F_earth,1_M_earth,1000,2684806584905.881,36852.948822421116,1439.12222,1766.5399749686505,1e-10,4.641588833612773e-13,664.207,994.028662220648
H2O,1000_F_earth,1_M_earth,2000,3378345482631.4463,50177.00854250661,1439.12222,2091.362700006023,1e-10,4.641588833612773e-13,664.207,1976.2458681202588
H2O,1000_F_earth,1_M_earth,3000,4313158400302.527,70576.30049769046,1439.12222,2508.311145475329,1e-10,2.7122725793320297e-13,664.207,2972.239048166682
H2O,1000_F_earth,1_M_earth,5000,5501341388504.328,105128.32654841852,1439.12222,3219.84240066217,1e-10,2.7122725793320297e-13,664.207,4948.469003617942
H2O,1000_F_earth,1_M_earth,6000,6101297764091.555,125459.32471332961,1439.12222,3575.6080282555904,1e-10,2.7122725793320297e-13,664.207,5936.583981343571
H2O,1000_F_earth,1_M_earth,7000,6721195260862.047,148330.86281608703,1439.12222,3931.373655849011,1e-10,2.7122725793320297e-13,664.207,6924.698959069201
H2O,1000_F_earth,10_M_earth,200,37259789099.052414,173954.75238655478,18106.817730392064,30482.911401458903,2.9891606381848e-08,1.4405104668791094e-14,174.72954584969773,199.9995377909767
H2O,1000_F_earth,10_M_earth,300,42249288719.90839,213974.89282179138,18106.817730392064,36670.90092742,2.9891606381848e-08,1.4405104668791094e-14,174.72954584969773,299.9977087418407
H2O,1000_F_earth,10_M_earth,500,52853845025.92438,317597.41080750927,18106.817730392064,50520.31025467581,2.9891606381848e-08,6.9608900894796715e-15,174.72954584969773,499.99655188884657
H2O,1000_F_earth,10_M_earth,1000,71208644614.7668,607741.9341695699,18106.817730392064,82933.7331849565,2.9891606381848e-08,6.9608900894796715e-15,174.72954584969773,999.9912515132523
H2O,1000_F_earth,10_M_earth,2000,114986393471.90746,1791422.8402822467,18106.817730392064,153654.25137176778,2.9891606381848e-08,3.3636680851609856e-15,174.72954584969773,1999.9887856234686
H2O,1000_F_earth,10_M_earth,3000,174613628712.4875,4467588.074702162,18106.817730392064,230268.29533583252,2.9891606381848e-08,1.6254046309724684e-15,174.72954584969773,2999.989939508319
H2O,1000_F_earth,10_M_earth,5000,364382480681.91095,19541717.83240207,18106.817730392064,386443.0070685107,2.9891606381848e-08,7.854342781446887e-16,174.72954584969773,4999.990041541738
H2O,1000_F_earth,10_M_earth,6000,509297780035.32104,35864469.486455485,18106.817730392064,460110.24185682775,2.9891606381848e-08,7.854342781446887e-16,174.72954584969773,5999.987977728246
H2O,1000_F_earth,10_M_earth,7000,708596160025.7129,63413810.7405301,18106.817730392064,533777.4766451449,2.9891606381848e-08,7.854342781446887e-16,174.72954584969773,6999.985913914755
N2,1_F_earth,1_M_earth,200,414485762546.6493,4079.8232094156983,506.60098711650255,533.4495622648602,1.1721022975334793e-11,4.4964892889187175e-13,180.0,198.26635157193158
N2,1_F_earth,1_M_earth,300,409591247415.08997,4046.607388315464,506.60098711650255,546.1308249683815,1.1721022975334793e-11,4.4964892889187175e-13,180.0,289.5981094315896
N2,1_F_earth,1_M_earth,500,409116642226.00635,4071.889550624444,506.60098711650255,571.4933503754237,1.1721022975334793e-11,4.4964892889187175e-13,180.0,472.2616251509055
N2,1_F_earth,1_M_earth,1000,424322665732.9951,4301.448272883998,506.60098711650255,634.8996638930294,1.1721022975334793e-11,4.4964892889187175e-13,180.0,928.9204144491954
N2,1_F_earth,1_M_earth,2000,480333072651.6714,5048.75331864671,506.60098711650255,761.7122909282405,1.1721022975334793e-11,4.4964892889187175e-13,180.0,1842.237993045775
N2,1_F_earth,1_M_earth,3000,560035313264.4637,6099.5906972886305,506.60098711650255,888.5249179634517,1.1721022975334793e-11,4.4964892889187175e-13,180.0,2755.5555716423546
N2,1_F_earth,1_M_earth,5000,794511565710.008,9274.117859086818,506.60098711650255,1142.150172033874,1.1721022975334793e-11,4.4964892889187175e-13,180.0,4582.190728835514
N2,1_F_earth,1_M_earth,6000,958130591126.1746,11568.009626241472,506.60098711650255,1268.9627990690853,1.1721022975334793e-11,4.4964892889187175e-13,180.0,5495.508307432094
N2,1_F_earth,1_M_earth,7000,1275315009330.1223,16458.350424015895,506.60098711650255,1525.599457161692,1.1721022975334793e-11,2.8221150360464245e-13,180.0,6583.13899501394
N2,1_F_earth,10_M_earth,200,49990609137.13649,183891.99756683456,9789.721898217867,13743.849779688411,1.4369868840899998e-08,1.1284550594893711e-14,142.57758102466397,199.99848520074963
N2,1_F_earth,10_M_earth,300,50701644288.39073,192125.78744704492,9789.721898217867,15720.891773119587,1.4369868840899998e-08,1.1284550594893711e-14,142.57758102466397,299.995847207998
N2,1_F_earth,10_M_earth,500,52644374785.7237,211414.14049495643,9789.721898217867,19674.97575998194,1.4369868840899998e-08,1.1284550594893711e-14,142.57758102466397,499.9905712224948
N2,1_F_earth,10_M_earth,1000,59482608432.45025,274277.1311424145,9789.721898217867,29560.185727137814,1.4369868840899998e-08,1.1284550594893711e-14,142.57758102466397,999.9773812587366
