file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,M_total_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index,unphysical_extension
H2_atmosphere_10_M_earth_1000_F_earth.csv,300,H2,10_M_earth,1000_F_earth,2787.4501492523905,2787.4501590552886,H,4.597595198517287,2787.4501590552886,True,299.97058657110904,229103.61020325686,347604210.20325685,737.0,False
H2_atmosphere_10_M_earth_1000_F_earth.csv,500,H2,10_M_earth,1000_F_earth,14829.11679635864,14829.116848509642,H,2.0631830569513805,14829.116848509642,True,499.95806307523566,346253.35192247917,464753951.92247915,772.0,False
H2_atmosphere_10_M_earth_1000_F_earth.csv,1000,H2,10_M_earth,1000_F_earth,23669.47417804878,23669.474261535295,H,0.6079631444606141,23669.474261289528,False,999.9549177205727,670063.0573104891,788563657.3104892,835.0,False
H2_atmosphere_10_M_earth_1000_F_earth.csv,2000,H2,10_M_earth,1000_F_earth,18907.717829622397,18907.717971672442,H,0.15827453721907608,18907.717896117014,False,1999.9634717714375,1395971.632213788,1514472232.213788,913.0,False
H2_atmosphere_10_M_earth_1000_F_earth.csv,3000,H2,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1000_F_earth.csv,4000,H2,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1000_F_earth.csv,5000,H2,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1000_F_earth.csv,6000,H2,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2_atmosphere_10_M_earth_1000_F_earth.csv,7000,H2,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2O_atmosphere_1_M_earth_1_F_earth.csv,200,H2O,1_M_earth,1_F_earth,69.42871546244393,88.45015345979216,H,7.378360444333399,88.45015345979216,True,199.852257559129,26198.611954219403,32510637.327619404,543.0,False
H2O_atmosphere_1_M_earth_1_F_earth.csv,300,H2O,1_M_earth,1_F_earth,553.024666161567,704.5372546968779,H,4.718833394022835,704.5372546968779,True,299.67170034428375,27589.09358396553,33901118.95736553,548.0,False
H2O_atmosphere_1_M_earth_1_F_earth.csv,500,H2O,1_M_earth,1_F_earth,2217.6454217691153,2825.215425179338,H,2.610155592959694,2825.2154251793377,True,499.3761045608065,30467.003285166564,36779028.658566564,558.0,False
H2O_atmosphere_1_M_earth_1_F_earth.csv,1000,H2O,1_M_earth,1_F_earth,4152.925417205421,5290.709010624897,H,1.0790830313438315,5290.704249936865,False,998.9065234463287,38162.845574124236,44474870.94752424,581.0,False
H2O_atmosphere_1_M_earth_1_F_earth.csv,2000,H2O,1_M_earth,1_F_earth,3985.108043003058,5137.622822741855,H,0.3895250875317578,5054.006038823738,False,1998.5446315818533,55268.74590096992,61580771.274369925,619.0,False
H2O_atmosphere_1_M_earth_1_F_earth.csv,3000,H2O,1_M_earth,1_F_earth,3516.714408333589,5082.664075237384,H,0.19821018759863757,4252.883897787216,False,2998.525228664902,74348.44112330998,80660466.49670999,652.0,False
H2O_atmosphere_1_M_earth_1_F_earth.csv,4000,H2O,1_M_earth,1_F_earth,,,,,,False,,,,,True
H2O_atmosphere_1_M_earth_1_F_earth.csv,5000,H2O,1_M_earth,1_F_earth,,,,,,False,,,,,True
H2O_atmosphere_1_M_earth_1_F_earth.csv,6000,H2O,1_M_earth,1_F_earth,,,,,,False,,,,,True
H2O_atmosphere_1_M_earth_1_F_earth.csv,7000,H2O,1_M_earth,1_F_earth,,,,,,False,,,,,True
H2O_atmosphere_1_M_earth_1000_F_earth.csv,200,H2O,1_M_earth,1000_F_earth,2.126308909745018e-07,4.4495870916499165e-07,H,27.780499465214014,4.4495870916499165e-07,True,220.31526407882558,1520.9131549832168,7832671.239383217,309.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,300,H2O,1_M_earth,1000_F_earth,0.0005732131346793911,0.0011995255031591156,H,19.34231155182748,0.0011995255031591156,True,315.74752835870163,1537.8179643052313,7849576.048705231,310.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,500,H2O,1_M_earth,1000_F_earth,0.45330762699649196,0.9486071174258137,H,11.992524061455462,0.9486071174258137,True,507.0999579612619,1571.220782150805,7882978.866550805,310.0,False
