Filename,Element,Planet mass,Earth Flux,Atmospheric mass [kg],Global mass loss [kg],m/M,Radius impactor [m]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.662849112281325e+21,0.7373737373737375,11819903.794202508
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.7136595796102443e+21,0.7474747474747475,11873631.368010672
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.7636298266008606e+21,0.7575757575757577,11926877.063946618
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.812725558545486e+21,0.7676767676767677,11979651.54358815
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.8609124807364355e+21,0.7777777777777778,12031965.09602969
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.908156298466024e+21,0.787878787878788,12083827.6555447
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.9544227170265654e+21,0.797979797979798,12135248.818195764
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.9996774417103753e+21,0.8080808080808082,12186237.857467493
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.0438861778097647e+21,0.8181818181818182,12236803.738991221
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.08701463061705e+21,0.8282828282828284,12286955.134424746
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.1290285054245423e+21,0.8383838383838385,12336700.434545293
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.169893507524561e+21,0.8484848484848485,12386047.761609204
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.209575342209416e+21,0.8585858585858587,12435004.981027631
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.248039714771423e+21,0.8686868686868687,12483579.712403651
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.285252330502896e+21,0.8787878787878789,12531779.339972738
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.3211788946961476e+21,0.888888888888889,12579611.022485295
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.355785112643496e+21,0.8989898989898991,12627081.702567047
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.389036689637251e+21,0.9090909090909092,12674198.115590414
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.4208993309697277e+21,0.9191919191919192,12720966.79808756
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.4513387419332426e+21,0.9292929292929294,12767394.09573353
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.480320627820107e+21,0.9393939393939394,12813486.170925893
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.507810693922638e+21,0.9494949494949496,12859249.009985358
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.533774645533146e+21,0.9595959595959597,12904688.430000156
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.558178187943947e+21,0.9696969696969697,12949810.085335374
