Filename,Element,Planet mass,Earth Flux,r_min [m],r_cap [m],r_gi [m],Cap mass [kg],Differential power law index q,Total impactor mass [kg/s],Mass loss rate [kg/s]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,414.2232472483898,7.2424345476384
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,435.791301239703,7.619538489509504
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,458.4823751389096,8.016277732471607
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,482.3549431001467,8.433674660557664
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,507.4705239490466,8.872804891978506
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,533.8938397147356,9.334800050955735
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,561.6929824163809,9.820850683880247
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,590.9395895340971,10.332209327311329
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,621.7090286163827,10.870193735722312
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,654.0805914998259,11.436190277310693
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,688.137698641567,12.031657506623539
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,723.9681140910877,12.658129923204822
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,761.6641716552892,13.31722192595045
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,801.3230128396887,14.010631973361342
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,843.0468371788967,14.740146960415345
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,886.9431656014714,15.507646823337081
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,933.1251175078249,16.31510938413195
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,981.7117022752193,17.16461544736874
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1032.8281259410296,18.058354162344795
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1086.6061138545979,18.998628664451996
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1143.1842501291503,19.98786201028132
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1202.708334768512,21.028603421760227
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1265.3317593889428,22.123534855414086
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1331.2159025043077,23.275477913680298
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1400.5305453932197,24.487401116085316
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1473.4543096198358,25.762427549022284
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1550.1751173357704,27.103842913842247
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1630.8906755493326,28.51510399399905
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1715.8089856100066,29.99984756306701
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1805.14887922111,31.56189975658718
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,1899.1405823619355,33.20528593189348
