Filename,Element,Planet mass,Earth Flux,Planet radius,Planet mass [kg],Atmospheric mass [kg],Height [m],Density [kg/m^3],Temperature [K],MMW [g/mol],Effective scale height h [m]
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,49767473.30634501,0.0004898282271923,211.7964653681068,5.378425737227404,2325800.9581232965
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,50565340.61276066,0.0002764528379784,207.4986863070445,5.378419640285075,2300268.2607391872
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,51348851.33332335,0.0001559510582721,203.3852933790461,5.37838358137988,2275629.9445233787
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,52118601.38616229,8.792406097874394e-05,199.46372814095287,5.378252539091771,2252081.5899477657
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,52875231.69800576,4.956004474074404e-05,195.65171860165924,5.377872441266449,2228834.8546531196
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,53619098.95853136,2.7917208226044816e-05,192.0157091920008,5.37686963067268,2206855.9158273577
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,54350867.2003537,1.5717791338887663e-05,188.4942150475676,5.374473491574675,2185817.058934981
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,55071072.11186989,8.840074885332573e-06,185.1428593624192,5.3695131557760805,2166882.2898568
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,55780614.07128764,4.968133442984177e-06,181.8402968672002,5.3602001205906085,2149393.1000538785
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,56480154.41150419,2.790554847462177e-06,178.67556631118455,5.350310297828055,2132909.044504431
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,57170193.79967962,1.5684228864174698e-06,175.6359113997593,5.345955626831152,2114913.7757474724
