Filename,Element,Planet mass,Earth Flux,r_min [m],r_cap [m],r_gi [m],rho_0 [kg/m^3],Cap mass [kg],Effective scale height [m],Atmospheric mass [kg],Radius impactor [m],Planetesimal mass loss [kg]
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,238677.33750784598,2.2185512124663482e+26,875801.3569908203,9.283345698947335e+20
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,234672.8907013455,2.2185512124663482e+26,897220.2624118994,9.824721096734979e+20
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,230907.03560085993,2.2185512124663482e+26,918639.1678329788,1.0379176615278766e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,227328.52710661275,2.2185512124663482e+26,940058.0732540579,1.094671225457868e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,223927.27886292484,2.2185512124663482e+26,961476.9786751373,1.1527328014634738e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,220794.44016045122,2.2185512124663482e+26,982895.8840962164,1.212102389544692e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,217828.01705324353,2.2185512124663482e+26,1004314.7895172958,1.2727799897015247e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,215078.71137305774,2.2185512124663482e+26,1025733.6949383749,1.33476560193397e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,212282.21526733914,2.2185512124663482e+26,1047152.6003594543,1.3980592262420297e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,209506.97594142845,2.2185512124663482e+26,1068571.5057805334,1.4626608626257025e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,206745.61882889885,2.2185512124663482e+26,1089990.4112016128,1.5285705110849892e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,204081.13597120543,2.2185512124663482e+26,1111409.316622692,1.5957881716198883e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,201526.71584088844,2.2185512124663482e+26,1132828.2220437713,1.664313844230402e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,198997.9909059571,2.2185512124663482e+26,1154247.1274648504,1.7341475289165285e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,196638.0777148536,2.2185512124663482e+26,1175666.0328859298,1.8052892256782692e+21
