SEQ='O '     NUCCHG= 8                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  16323956.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    31713.4 
     3          2S2 2P3             (2)1( 2.5)    43680.5 

   LS RESOLVED TERM INDEXING            BWNR=  16421397.0   NTRM= 501
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   136     2    2S2 2P3 5G1         (1)3( 3.0)   124726.0*
   137     2    2S2 2P3 5G1         (3)4(13.0)   124726.0*
   138     2    2S2 2P3 5G1         (1)4( 4.0)   124726.0*
   139     2    2S2 2P3 5G1         (3)5(16.0)   124726.0*
   140     2    2S2 2P3 5G1         (1)5( 5.0)   124726.0*
   141     2    2S2 2P3 5G1         (3)6(19.0)   124726.0*
   142     2    2S2 2P3 5G1         (1)6( 6.0)   124726.0*
   143     2    2S2 2P3 5D1         (1)0( 0.0)   124739.5*
   144     2    2S2 2P3 5D1         (3)3(10.0)   124740.4*
   145     2    2S2 2P3 5D1         (3)4(13.0)   124742.6*
   146     2    2S2 2P3 5D1         (1)4( 4.0)   124744.7*
   147     2    2S2 2P3 5D1         (3)2( 7.0)   124746.7*
   148     2    2S2 2P3 5D1         (1)1( 1.0)   124749.7*
   149     2    2S2 2P3 5D1         (3)1( 4.0)   124754.4*
   150     2    2S2 2P3 5D1         (3)0( 1.0)   124759.6*
   151     2    2S2 2P3 5F1         (3)4(13.0)   124764.2*
   152     2    2S2 2P3 5D1         (1)2( 2.0)   124764.2*
   153     2    2S2 2P3 5F1         (3)3(10.0)   124764.2*
   154     2    2S2 2P3 5F1         (3)5(16.0)   124764.2*
   155     2    2S2 2P3 5F1         (1)1( 1.0)   124764.2*
   156     2    2S2 2P3 5F1         (3)2( 7.0)   124764.2*
   157     2    2S2 2P3 5F1         (1)5( 5.0)   124764.2*
