SEQ='N '     NUCCHG= 7                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  11835491.1   NPRNTI= 4   NPRNTF= 4
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    17957.0 
     3          2S2 2P2             (1)0( 0.0)    32477.5 
     4          2S1 2P3             (5)0( 2.0)    39696.0 

   LS RESOLVED TERM INDEXING            BWNR=  11943486.1   NTRM= 406
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   117     1    2S2 2P2 7G1         (2)5(10.5)   105743.3 
   118     1    2S2 2P2 7H1         (4)4(17.5)   105749.2 
   119     1    2S2 2P2 7H1         (2)4( 8.5)   105749.2 
   120     1    2S2 2P2 7H1         (4)5(21.5)   105749.2 
   121     1    2S2 2P2 7H1         (2)5(10.5)   105749.2 
   122     1    2S2 2P2 7H1         (4)6(25.5)   105749.2 
   123     1    2S2 2P2 7H1         (2)6(12.5)   105749.2 
   124     1    2S2 2P2 7D1         (2)3( 6.5)   105749.7 
   125     1    2S2 2P2 7F1         (4)2( 9.5)   105750.8 
   126     1    2S2 2P2 7F1         (2)2( 4.5)   105750.8 
   127     1    2S2 2P2 7I1         (4)5(21.5)   105751.8 
   128     1    2S2 2P2 7I1         (2)5(10.5)   105751.8 
   129     1    2S2 2P2 7I1         (4)6(25.5)   105751.8 
   130     1    2S2 2P2 7I1         (2)6(12.5)   105751.8 
   131     1    2S2 2P2 7I1         (4)7(29.5)   105751.8 
   132     1    2S2 2P2 7I1         (2)7(14.5)   105751.8 
   133     1    2S2 2P2 7D1         (4)2( 9.5)   105753.3 
   134     1    2S2 2P2 7F1         (4)4(17.5)   105753.4 
   135     1    2S2 2P2 7F1         (2)4( 8.5)   105753.5 
   136     1    2S2 2P2 7F1         (4)3(13.5)   105760.9 
   137     1    2S2 2P2 7F1         (2)3( 6.5)   105761.1 
   138     1    2S2 2P2 7D1         (2)2( 4.5)   105771.9 
   139     1    2S2 2P2 8P1         (2)0( 0.5)   105842.9 
   140     1    2S2 2P2 8P1         (4)2( 9.5)   105860.9 
   141     1    2S2 2P2 8P1         (4)1( 5.5)   105872.9 
   142     1    2S2 2P2 8P1         (2)2( 4.5)   106059.0 
   143     1    2S2 2P2 8P1         (2)1( 2.5)   106104.5 
   144     1    2S2 2P2 8P1         (4)0( 1.5)   106159.8 
   145     1    2S2 2P2 8D1         (2)1( 2.5)   106264.5 
   146     1    2S2 2P2 8D1         (4)3(13.5)   106266.3 
   147     1    2S2 2P2 8D1         (4)1( 5.5)   106267.2 
   148     1    2S2 2P2 8G1         (4)3(13.5)   106272.2 
   149     1    2S2 2P2 8G1         (2)3( 6.5)   106272.2 
   150     1    2S2 2P2 8G1         (4)4(17.5)   106272.2 
   151     1    2S2 2P2 8G1         (2)4( 8.5)   106272.2 
   152     1    2S2 2P2 8G1         (4)5(21.5)   106272.2 
   153     1    2S2 2P2 8G1         (2)5(10.5)   106272.2 
   154     1    2S2 2P2 8H1         (4)4(17.5)   106276.1 
   155     1    2S2 2P2 8H1         (2)4( 8.5)   106276.1 
   156     1    2S2 2P2 8H1         (4)5(21.5)   106276.1 
   157     1    2S2 2P2 8H1         (2)5(10.5)   106276.1 
   158     1    2S2 2P2 8H1         (4)6(25.5)   106276.1 
   159     1    2S2 2P2 8H1         (2)6(12.5)   106276.1 
   160     1    2S2 2P2 8D1         (2)3( 6.5)   106276.5 
   161     1    2S2 2P2 8F1         (4)2( 9.5)   106277.2 
   162     1    2S2 2P2 8F1         (2)2( 4.5)   106277.2 
   163     1    2S2 2P2 8I1         (4)5(21.5)   106277.9 
   164     1    2S2 2P2 8I1         (2)5(10.5)   106277.9 
   165     1    2S2 2P2 8I1         (4)6(25.5)   106277.9 
   166     1    2S2 2P2 8I1         (2)6(12.5)   106277.9 
   167     1    2S2 2P2 8I1         (4)7(29.5)   106277.9 
   168     1    2S2 2P2 8I1         (2)7(14.5)   106277.9 
