SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   175     1    2S2 2P1 8F1         (1)4( 4.0)    81216.4 
   176     1    2S2 2P1 8P1         (1)0( 0.0)    81217.4 
   177     1    2S2 2P1 8F1         (3)2( 7.0)    81218.7 
   178     1    2S2 2P1 8F1         (1)2( 2.0)    81218.9 
   179     1    2S2 2P1 8D1         (1)3( 3.0)    81223.7 
   180     1    2S2 2P1 8D1         (1)1( 1.0)    81229.5 
   181     2    2S1 2P2 3S1         (5)1( 7.0)    92865.4*
   182     2    2S1 2P2 3P1         (5)2(12.0)    99265.3*
   183     2    2S1 2P2 3P1         (5)1( 7.0)    99731.4*
   184     2    2S1 2P2 3S1         (3)1( 4.0)    99866.6*
   185     2    2S1 2P2 3P1         (3)0( 1.0)   101531.3*
   186     2    2S1 2P2 3P1         (3)2( 7.0)   107602.8*
   187     2    2S1 2P2 3P1         (3)1( 4.0)   109056.9*
   188     2    2S1 2P2 4S1         (5)1( 7.0)   110911.2*
   189     2    2S1 2P2 3D1         (3)1( 4.0)   111442.9*
   190     2    2S1 2P2 3D1         (5)1( 7.0)   111445.1*
   191     2    2S1 2P2 3D1         (5)3(17.0)   111461.7*
   192     2    2S1 2P2 3D1         (3)3(10.0)   111728.7*
   193     2    2S1 2P2 3D1         (5)2(12.0)   111818.2*
   194     2    2S1 2P2 3D1         (3)2( 7.0)   112135.2*
   195     2    2S1 2P2 4S1         (3)1( 4.0)   112829.7*
