specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
CO2,1000_F_earth,1_M_earth,200,3166.6573859017785,342.8324181238496,1.1864880933831086e-09,5.266582605261078e-12,284084490949.8998,30755892133.27606
CO2,1000_F_earth,1_M_earth,300,2992.0766700654904,323.93175358261647,1.2539324302900018e-07,2.9601437332421397e-08,267898034547.97592,29003494790.31323
CO2,1000_F_earth,1_M_earth,500,2782.523071036331,301.2448132771804,1.7298473954639227e-05,4.183530919900766e-05,248164009627.2531,26867026376.329426
CO2,1000_F_earth,1_M_earth,1000,2577.0324810957754,278.9977472811364,0.0016902798887734,0.0093033554670803,227496623436.71967,24629509297.423115
CO2,1000_F_earth,1_M_earth,2000,2387.5635240399683,258.48523430892914,0.0195782711202883,0.103417057983779,206625824358.21564,22369970091.15596
CO2,1000_F_earth,1_M_earth,3000,2309.7073908763355,250.05628126933172,0.0420322724589675,0.1938843807809564,195995473275.1945,21219094412.744102
CO2,1000_F_earth,1_M_earth,4000,2273.0108241169664,246.08339403026116,0.0584852435748235,0.2415357133822051,189161676274.2724,20479245775.747826
CO2,1000_F_earth,1_M_earth,5000,2301.752365192428,249.19504484268396,0.0701000746976365,0.2756128554382394,187413009449.11032,20289929533.696404
CO2,1000_F_earth,1_M_earth,6000,2300.319307786221,249.03989748191572,0.0766324456544102,0.3966687810237026,183662227420.91888,19883857920.67467
CO2,1000_F_earth,1_M_earth,7000,2307.6592697014507,249.83454514526525,0.0814477570242363,0.9927149419860868,180707654971.688,19563986493.53464
CO2,1000_F_earth,10_M_earth,200,324.2194421582981,324.2194421582981,7.241683254971224e-15,1.1396561168970278e-05,88808020.94506374,88808020.94506374
CO2,1000_F_earth,10_M_earth,300,321.9347531835144,321.9347531835144,2.8203375344841057e-10,0.0030512920423566,85914353.4899274,85914353.4899274
CO2,1000_F_earth,10_M_earth,500,321.65211862935706,321.65211862935706,2.700870679449352e-06,0.2090874809485093,81623229.10406362,81623229.10406362
CO2,1000_F_earth,10_M_earth,1000,343.4195628662086,343.4195628662086,0.0017374241822167,3.3216525710936105,77108179.96016502,77108179.96016502
CO2,1000_F_earth,10_M_earth,2000,418.33694406666285,418.33694406666285,0.0284519899179393,8.935608530491193,74696333.01550499,74696333.01550499
CO2,1000_F_earth,10_M_earth,3000,519.7921321467483,519.7921321467483,0.0583252339030191,11.919233524656986,75138538.30795541,75138538.30795541
CO2,1000_F_earth,10_M_earth,4000,647.41439469701,647.41439469701,0.0903964264820967,52.79074145016504,76913707.15231219,76913707.15231219
CO2,1000_F_earth,10_M_earth,5000,804.6326040449883,804.6326040449883,0.2877051408590946,326.9519985672472,79575557.19088466,79575557.19088466
CO2,1000_F_earth,10_M_earth,6000,982.9913615573008,982.9913615573008,1.3187424268190246,1208.6084758135628,82361619.33385293,82361619.33385293
CO2,1000_F_earth,10_M_earth,7000,1211.6622498017853,1211.6622498017853,5.081394912813289,3046.0768673439816,86328555.80450624,86328555.80450624
H2,1_F_earth,1_M_earth,200,50520.45208699655,2.0494796212052764,1.2992209038501114e-14,3.208783220084817e-06,2624273949370.3574,106459775.3486608
H2,1_F_earth,1_M_earth,300,48871.61675473106,1.9825907816837656,9.571674835153698e-10,0.0092376596502726,2514396520659.531,102002341.93960324
H2,1_F_earth,1_M_earth,500,48771.29042720438,1.9785208109047585,0.0004331359175799,4.252354103423225,2456559637380.4326,99656054.27316624
H2,1_F_earth,1_M_earth,1000,50494.001031987165,2.048406572648472,5.444651216028172,272.93720129722806,2421784358692.59,98245314.2253587
H2,1_F_earth,1_M_earth,2000,59412.002092572046,2.4101860239503363,356.6661207760379,1302.2084931589711,2549847053809.7554,103440475.2549412
H2,1_F_earth,1_M_earth,3000,71249.30343857191,2.890393679988651,1078.0201924941878,1718.2540042333292,2708723455023.488,109885665.92776556
H2,1_F_earth,1_M_earth,4000,86150.66093321105,3.494901898976228,1620.9925905639925,1800.3741307763023,2877633751886.074,116737904.91081116
H2,1_F_earth,1_M_earth,5000,108301.35144592175,4.393496169733166,1922.5689767416704,1739.225523437416,3103704050368.5254,125908972.28173897
H2,1_F_earth,1_M_earth,6000,132356.36715422056,5.369343820443735,2044.4584421107284,1647.8844238642157,3289383166537.7373,133441477.4148464
H2,1_F_earth,1_M_earth,7000,168076.48073171492,6.818413292707137,2061.5234043497508,1577.1909837528742,3537409273216.7124,143503233.2021879
H2,1_F_earth,10_M_earth,200,1017089.5139933889,3894.6202678294926,0.0312733675538969,88.68689637562638,78805386276.13155,301760120.7981278
H2,1_F_earth,10_M_earth,300,1351385.5452937204,5174.700419128442,23.860350998826537,1825.5299124674943,81200104806.52531,310929932.49700147
H2,1_F_earth,10_M_earth,500,2223610.633497877,8514.608519539119,2433.430255312352,11842.510555665698,85613588820.5874,327829963.4740384
H2,1_F_earth,10_M_earth,1000,5690308.0170263415,21789.221723750336,22781.67806388758,22380.6848530054,94054063595.71536,360150072.64540315
H2,1_F_earth,10_M_earth,2000,20250724.74615175,77543.698907028,28267.66673788793,18696.205227180195,108392811686.20628,415055740.3965804
